date, state, positive, negative, hospitalized, onVentilatorCurrently, onVentilatorCumulative, recovered, dataQualityGrade, death
20200815,AL,107580,729437,12607,,719,41523,B,1896,
20200815,AS,0,1514,,,,,C,0,
20200815,AR,51992,536268,3562,108,460,44905,A,600,
20200815,DE,16396,192365,,,,8649,A+,593,
20200815,FL,569637,3633088,34074,,,,A,9480,
20200815,HI,4543,151723,277,22,,1756,C,40,
20200815,IN,79676,817939,9872,88,,59488,A+,3128,
20200815,LA,136737,1500275,,197,,103512,A,4430,
20200815,ME,4144,203210,399,1,,3616,A+,127,
20200815,MD,99693,1027959,13556,,,5995,A,3636,
20200815,MA,122897,1311604,12170,27,,100486,A+,8818,
20200816,AL,108433,737991,12607,,720,41523,B,1898,
20200816,AS,0,1514,,,,,C,0,
20200816,AZ,193537,898437,20755,267,,27582,A+,4506,
20200816,DE,16451,193934,,,,8671,A+,593,
20200816,DC,13220,229632,,9,,10493,A+,597,
20200816,FL,573416,3659212,34341,,,,A,9587,
20200816,GU,516,27257,,,,345,A,5,
20200816,IN,80415,826436,9935,92,,59801,A+,3133,
20200816,LA,137918,1520169,,189,,103512,A,4507,
20200816,MD,100212,1042198,13614,,,6004,A,3639,
20200816,MA,123200,1326768,12173,28,,100486,A+,8829,
20200816,MI,102259,2218791,,87,,67778,A+,6592,
20200816,MO,67475,778143,,121,,,A,1367,
20200816,ND,8587,171213,459,,,7249,C,105,
20200816,OH,108287,1721358,12236,161,,86926,A+,3826,
20200816,SD,10274,118500,916,,,8939,A,153,
20200816,VI,741,11430,,,,523,C,9,
20200816,WI,70246,1060533,5304,,,55982,A+,1046,
20200817,AL,109004,743919,12958,,720,41523,B,1925,
20200817,AK,5110,300538,,4,,1432,A,28,
20200817,AS,0,1514,,,,,C,0,
20200817,AR,53077,569385,3621,120,472,46133,A,603,
20200817,CA,628031,9305749,,,,,B,11242,
20200817,CO,53176,581397,6735,,,5695,A,1768,
20200817,CT,51267,930701,11015,,,8809,B,4456,
20200817,DE,16536,196102,,,,8713,A+,593,
20200817,DC,13273,232382,,15,,10521,A+,597,
20200817,FL,576094,3676782,34607,,,,B,9674,
20200817,GA,238861,1788556,22133,,,,A,4727,
20200817,HI,5042,156906,283,25,,1841,C,40,
20200817,ID,27660,196827,1110,,,10883,A,269,
20200817,IN,81006,833627,9973,95,,60677,A+,3135,
20200817,KS,35167,319095,2034,24,200,1409,A+,405,
20200817,LA,138485,1535804,,184,,103512,A,4526,
20200817,ME,4197,208357,399,1,,3638,A+,127,
20200817,MD,100715,1056897,13658,,,6008,A,3641,
20200817,MA,123413,1341501,12178,22,,100486,A+,8833,
20200817,MO,68623,789994,,119,,,A,1396,
20200817,MT,5792,198933,330,,,4162,C,82,
20200817,NJ,187767,2323303,22218,38,,33381,A+,15916,
20200817,NM,23408,647165,2965,,,10481,B,714,
20200817,ND,8647,171772,461,,,7343,C,105,
20200817,MP,53,12867,4,,,29,D,2,
20200817,OH,109062,1739954,12319,175,,87764,A+,3832,
20200817,OK,48711,706619,4021,,,40531,A+,665,
20200817,OR,23451,467766,1913,19,,4419,A+,388,
20200817,PA,124844,1342475,,95,,98626,A+,7468,
20200817,TN,134744,1736364,5881,173,,94812,A+,1387,
20200817,UT,46894,554901,2782,,286,38132,A+,364,
20200817,VI,760,11658,,,,525,C,9,
20200817,WV,8632,352207,,19,,6531,B,160,
20200817,WY,3331,57567,195,,,2699,B,33,
20200818,AK,5177,304832,,7,,1468,A,29,
20200818,AZ,194920,909077,20878,260,,28027,A+,4529,
20200818,DE,16593,197252,,,,8749,A+,593,
20200818,DC,13325,236153,,14,,10595,A+,599,
20200818,FL,579932,3699108,35112,,,,B,9893,
20200818,GA,241677,1818642,22429,,,,A,4794,
20200818,GU,577,28649,,,,353,A,5,
20200818,HI,5215,158984,288,25,,1868,C,40,
20200818,IL,210926,3229678,,128,,,A,7993,
20200818,IN,81847,846767,10037,94,,61518,A+,3165,
20200818,KS,35167,319095,2034,24,200,1409,A+,405,
20200818,KY,40299,686601,4252,,,9233,B,830,
20200818,MD,101235,1066070,13698,,,6008,A,3650,
20200818,MI,103403,2259122,,89,,67778,A+,6608,
20200818,MN,66061,937245,5932,,,59568,A,1767,
20200818,MO,69417,798064,,116,,,A,1402,
20200818,NH,7017,179890,712,,,6333,B,424,
20200818,NJ,188098,2344647,22259,41,,33403,A+,15925,
20200818,NC,146779,1804341,,,,127749,A+,2396,
20200818,OK,49326,725674,4115,,,41370,A+,682,
20200818,OR,23676,472662,1929,20,,4468,A+,397,
20200818,SC,107672,770809,7146,173,,54194,A+,2343,
20200818,SD,10443,119570,927,,,9126,A,154,
20200818,TN,135778,1758594,5981,183,,96896,A+,1426,
20200818,WA,67721,950107,6296,39,,,B,1785,
20200818,WI,71424,1075397,5380,,,57382,A+,1059,
